回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1475,B,6,7,9,20,21,27,2,4：2,90,4：3,92
1476,E,6,22,38,40,41,42,35,1：5,189,2：5,224
1477,A,4,13,14,25,27,32,1,3：3,115,4：3,116
1478,J,7,12,15,21,40,42,32,3：3,137,3：4,169
1479,H,1,20,30,32,35,37,33,3：3,155,4：3,188
1480,I,2,4,5,6,24,34,39,1：5,75,2：5,114
1481,G,3,9,21,31,41,42,18,5：1,147,5：2,165
1482,D,8,26,28,32,41,43,14,2：4,178,2：5,192
1483,A,3,10,20,23,29,43,22,4：2,128,4：3,150
1484,F,4,12,17,18,23,41,28,3：3,115,3：4,143
1485,C,9,10,18,27,28,35,37,3：3,127,4：3,164
1486,J,18,24,29,33,39,42,34,3：3,185,3：4,219
1487,B,5,7,9,17,24,35,36,5：1,97,5：2,133
1488,J,4,10,11,17,34,37,38,3：3,113,3：4,151
1489,H,4,6,11,13,23,32,1,3：3,89,4：3,90
1490,A,7,19,24,29,39,43,11,5：1,161,6：1,172
1491,G,8,11,23,31,34,37,1,4：2,144,5：2,145
1492,D,4,16,18,32,38,42,36,0：6,150,0：7,186
1493,E,11,18,24,27,37,38,15,3：3,155,4：3,170
1494,I,8,15,17,24,26,38,27,2：4,128,3：4,155
1495,F,18,24,32,34,37,41,22,2：4,186,2：5,208
1496,C,5,9,13,16,17,34,37,4：2,94,5：2,131
1497,B,6,22,28,30,35,37,8,2：4,158,2：5,166
1498,A,1,6,7,9,31,37,43,5：1,91,6：1,134
1499,H,10,11,27,28,29,37,13,4：2,142,5：2,155
1500,I,19,21,22,28,29,30,4,3：3,149,3：4,153
1501,J,6,10,13,25,31,38,15,3：3,123,4：3,138
1502,D,1,17,25,28,32,42,26,3：3,145,3：4,171
1503,G,1,8,16,35,40,42,20,2：4,142,2：5,162
1504,E,5,7,9,21,42,43,35,5：1,127,6：1,162
1505,B,1,2,14,15,21,34,19,3：3,87,4：3,106
1506,F,10,12,19,28,35,41,39,3：3,145,4：3,184
1507,J,19,20,22,30,35,43,29,3：3,169,4：3,198
1508,A,9,13,28,29,32,40,41,3：3,151,4：3,192
1509,H,6,11,12,34,36,41,43,2：4,140,3：4,183
1510,E,8,13,17,18,21,38,23,3：3,115,4：3,138
1511,C,11,16,22,24,38,40,6,1：5,151,1：6,157
1512,I,1,11,12,24,32,38,39,2：4,118,3：4,157
1513,E,13,14,18,19,25,42,5,3：3,131,4：3,136
1514,J,11,16,22,29,37,43,14,4：2,158,4：3,172
1515,D,5,9,17,21,27,29,30,6：0,108,6：1,138
1516,G,25,32,34,37,41,42,28,3：3,211,3：4,239
1517,J,14,25,27,30,39,41,8,4：2,176,4：3,184
1518,D,6,15,16,22,36,41,20,2：4,136,2：5,156
1519,B,5,8,20,21,27,43,9,4：2,124,5：2,133
1520,F,1,6,11,13,30,33,4,4：2,94,4：3,98
1521,C,17,21,22,40,41,42,13,3：3,183,4：3,196
1522,I,5,17,21,22,32,35,41,4：2,132,5：2,173
1523,A,2,15,17,25,34,38,27,3：3,131,4：3,158
1524,E,2,3,15,24,30,43,39,3：3,117,4：3,156
1525,A,3,7,20,21,28,32,24,3：3,111,3：4,135
1526,H,4,17,19,21,39,41,36,5：1,141,5：2,177
1527,D,2,5,9,11,27,32,33,4：2,86,5：2,119
1528,G,1,14,17,34,35,37,16,4：2,138,4：3,154
1529,J,3,19,26,28,33,40,1,3：3,149,4：3,150
1530,H,2,5,10,34,37,40,7,2：4,128,3：4,135
1531,B,2,6,7,10,30,33,14,2：4,88,2：5,102
1532,G,2,9,14,16,17,21,34,3：3,79,3：4,113
1533,E,15,22,27,37,38,41,5,4：2,180,5：2,185
1534,F,1,9,18,22,24,43,39,3：3,117,4：3,156
1535,C,1,9,14,30,35,38,32,3：3,127,3：4,159
1536,I,2,5,9,30,37,40,28,3：3,123,3：4,151
1537,B,6,13,14,32,33,37,20,3：3,135,3：4,155
1538,A,8,14,19,33,35,40,38,3：3,149,3：4,187
1539,J,13,29,33,37,41,42,43,5：1,195,6：1,238
1540,H,1,20,25,28,33,37,31,4：2,144,5：2,175
1541,C,12,26,28,32,33,35,41,2：4,166,3：4,207
1542,D,11,12,16,17,20,36,18,2：4,112,2：5,130
1543,F,17,21,26,33,36,38,34,3：3,171,3：4,205
1544,G,3,11,25,26,39,42,34,4：2,146,4：3,180
1545,E,8,14,15,26,37,43,12,3：3,143,3：4,155
1546,C,1,18,19,24,31,40,16,3：3,133,3：4,149
1547,I,4,11,14,17,22,39,21,3：3,107,4：3,128
1548,J,18,24,26,35,39,42,32,2：4,184,2：5,216
1549,B,4,5,27,28,35,41,33,4：2,140,5：2,173
1550,H,8,11,22,32,37,42,41,2：4,152,3：4,193
1551,F,3,14,18,24,38,43,23,2：4,140,3：4,163
1552,E,5,9,15,30,32,39,11,4：2,130,5：2,141
1553,A,7,8,16,32,41,42,31,2：4,146,3：4,177
1554,D,6,14,16,27,40,42,26,1：5,145,1：6,171
1555,B,2,8,17,23,24,27,5,3：3,101,4：3,106
1556,C,10,19,28,30,38,42,18,1：5,167,1：6,185
1557,G,5,21,22,23,26,39,31,4：2,136,5：2,167
1558,I,1,12,25,27,39,42,16,4：2,146,4：3,162
1559,J,4,15,17,20,26,31,43,3：3,113,4：3,156
1560,H,7,19,24,32,40,42,22,2：4,164,2：5,186
1561,F,12,15,26,34,35,38,7,2：4,160,3：4,167
1562,E,2,4,15,16,26,33,25,2：4,96,3：4,121
1563,C,1,12,20,26,35,37,2,3：3,131,3：4,133
1564,A,5,6,18,20,27,37,7,3：3,113,4：3,120
1565,D,5,9,17,28,30,37,27,4：2,126,5：2,153
1566,J,12,13,20,24,30,35,34,2：4,134,2：5,168
1567,G,5,7,19,26,37,40,34,4：2,134,4：3,168
1568,A,2,5,7,10,16,34,14,2：4,74,2：5,88
1569,I,2,8,29,31,32,33,16,3：3,135,3：4,151
1570,B,1,19,22,23,31,36,24,4：2,132,4：3,156
1571,F,1,2,5,25,40,41,26,4：2,114,4：3,140
1572,J,4,6,10,19,28,38,40,1：5,105,1：6,145
1573,H,2,10,16,38,39,43,11,2：4,148,3：4,159
1574,E,1,2,3,20,31,32,13,3：3,89,4：3,102
1575,D,2,8,15,24,32,39,9,2：4,120,3：4,129
1576,G,5,7,10,17,29,32,37,4：2,100,5：2,137
1577,C,13,14,15,28,37,39,4,4：2,146,4：3,150
1578,A,3,15,17,19,21,34,4,5：1,109,5：2,113
1579,I,23,29,32,33,37,42,1,4：2,196,5：2,197
1580,B,5,7,11,12,24,31,3,4：2,90,5：2,93
1581,D,6,12,30,31,41,43,1,3：3,163,4：3,164
1582,F,18,32,35,36,39,41,28,3：3,201,3：4,229
1583,J,5,7,16,34,39,41,29,4：2,142,5：2,171
1584,H,13,15,18,30,37,43,9,4：2,156,5：2,165
1585,E,2,6,10,13,16,32,9,1：5,79,2：5,88
1586,F,2,13,19,27,40,42,14,3：3,143,3：4,157
1587,A,16,21,22,27,36,43,37,3：3,165,4：3,202
1588,G,6,16,27,31,32,34,11,2：4,146,3：4,157
1589,C,11,21,25,31,36,39,32,5：1,163,5：2,195
1590,B,10,12,15,29,33,42,17,3：3,141,4：3,158
1591,I,7,9,18,21,26,43,14,4：2,124,4：3,138
1592,D,4,16,25,30,36,43,19,2：4,154,3：4,173
1593,J,6,17,18,35,37,38,16,3：3,151,3：4,167
1594,F,1,5,6,13,34,36,18,3：3,95,3：4,113
1595,H,16,21,30,32,40,43,15,2：4,182,3：4,197
1596,A,10,15,30,35,42,43,26,3：3,175,3：4,201
1597,B,2,3,8,17,23,32,12,3：3,85,3：4,97
1598,E,9,11,26,28,39,43,1,4：2,156,5：2,157
1599,G,1,2,20,22,35,38,4,2：4,118,2：5,122
1600,C,7,14,22,35,37,39,24,4：2,154,4：3,178
1601,C,6,13,17,18,21,41,37,4：2,116,5：2,153
1602,D,1,2,7,14,32,42,33,2：4,98,3：4,131
1603,J,4,6,32,35,40,42,26,1：5,159,1：6,185
1604,I,12,21,23,36,37,38,6,3：3,167,3：4,173
1605,F,2,5,8,20,29,40,6,2：4,104,2：5,110
1606,H,18,23,25,26,32,34,43,2：4,158,3：4,201
1607,A,10,13,14,15,17,22,40,3：3,91,3：4,131
1608,B,10,18,22,23,25,35,19,3：3,133,4：3,152
1609,G,4,12,16,34,35,41,5,2：4,142,3：4,147
1610,D,1,8,13,22,41,42,40,3：3,127,3：4,167
1611,E,3,14,16,24,32,36,34,1：5,125,1：6,159
1612,C,5,8,12,16,27,38,42,2：4,106,2：5,148
1613,J,9,17,22,25,30,41,15,4：2,144,5：2,159
1614,H,4,5,20,29,40,43,24,3：3,141,3：4,165
1615,F,2,5,6,13,19,29,25,4：2,74,5：2,99
1616,I,1,4,6,21,34,41,12,3：3,107,3：4,119
1617,B,2,19,21,24,26,41,23,3：3,133,4：3,156
1618,G,2,10,14,17,37,43,38,3：3,123,3：4,161
1619,E,3,5,17,20,24,38,13,3：3,107,4：3,120
1620,A,7,15,19,24,25,28,11,4：2,118,5：2,129
1621,D,3,10,22,23,26,39,1,3：3,123,4：3,124
1622,F,16,29,34,35,40,41,26,3：3,195,3：4,221
1623,H,7,12,15,17,19,29,22,5：1,99,5：2,121
1624,J,3,5,17,25,33,39,19,6：0,122,7：0,141
1625,C,1,4,8,11,30,42,9,2：4,96,3：4,105
1626,I,9,11,19,23,30,43,27,5：1,135,6：1,162
1627,F,21,22,23,26,36,38,13,2：4,166,3：4,179
1628,E,1,3,10,12,26,42,13,2：4,94,3：4,107
1629,B,19,23,30,31,32,40,13,3：3,175,4：3,188
1630,G,10,11,24,33,34,36,42,2：4,148,2：5,190
1631,A,7,15,23,26,30,35,36,4：2,136,4：3,172
1632,D,1,9,24,28,31,41,2,4：2,134,4：3,136
1633,C,3,7,9,26,35,36,28,4：2,116,4：3,144
1634,J,18,19,20,23,29,35,17,4：2,144,5：2,161
1635,H,4,8,19,32,36,43,30,2：4,142,2：5,172
1636,F,1,12,24,26,30,36,29,1：5,129,2：5,158
1637,I,2,3,11,16,27,36,29,3：3,95,4：3,124
1638,I,21,25,26,35,39,40,18,4：2,186,4：3,204
1639,H,5,9,13,20,26,32,28,3：3,105,3：4,133
1640,E,8,9,19,21,27,30,17,4：2,114,5：2,131
1641,C,2,5,7,12,16,20,33,2：4,62,3：4,95
1642,B,5,15,16,24,34,39,13,3：3,133,4：3,146
1643,G,10,11,12,15,16,40,33,2：4,104,3：4,137
1644,A,1,9,14,28,32,40,15,2：4,124,3：4,139
1645,D,2,8,13,14,33,40,6,2：4,110,2：5,116
1646,J,3,19,21,29,39,43,25,6：0,154,7：0,179
1647,F,3,8,14,15,19,35,12,4：2,94,4：3,106
1648,E,2,3,22,26,35,42,38,2：4,130,2：5,168
1649,I,8,16,19,23,29,41,1,4：2,136,5：2,137
1650,H,1,3,15,33,39,43,30,6：0,134,6：1,164
1651,C,7,12,15,21,27,32,28,4：2,114,4：3,142
1652,B,8,15,16,23,38,43,2,3：3,143,3：4,145
1653,D,2,7,10,12,29,36,6,2：4,96,2：5,102
1654,G,9,10,14,21,22,33,26,3：3,109,3：4,135
1655,J,21,23,31,38,42,43,40,4：2,198,4：3,238
1656,A,11,12,14,28,36,38,37,1：5,139,2：5,176
1657,F,11,13,16,19,20,38,25,3：3,117,4：3,142
1658,E,10,11,19,29,30,36,37,3：3,135,4：3,172
1659,H,4,10,23,25,37,42,6,3：3,141,3：4,147
1660,C,3,13,29,35,42,43,15,5：1,165,6：1,180
1661,I,6,14,31,35,38,43,12,3：3,167,3：4,179
1662,B,4,17,18,25,26,27,32,3：3,117,3：4,149
1663,D,1,6,19,21,27,39,3,5：1,113,6：1,116
1664,G,7,10,17,20,21,27,15,4：2,102,5：2,117
1665,F,19,22,24,29,34,41,9,3：3,169,4：3,178
1666,J,14,16,26,37,41,43,31,3：3,177,4：3,208
1667,A,5,8,18,25,40,43,17,3：3,139,4：3,156
1668,E,5,16,21,24,31,34,29,3：3,131,4：3,160
1669,H,2,4,13,14,22,29,26,2：4,84,2：5,110
1670,C,1,16,20,23,32,37,18,3：3,129,3：4,147
1671,G,16,27,37,38,39,43,10,4：2,200,4：3,210
1672,I,6,17,22,27,37,42,34,3：3,151,3：4,185
1673,E,24,33,35,36,41,43,21,4：2,212,5：2,233
1674,A,14,19,25,29,33,43,31,5：1,163,6：1,194
1675,B,2,3,17,27,28,34,6,3：3,111,3：4,117
1676,D,5,13,21,27,31,36,11,5：1,133,6：1,144
1677,F,11,20,26,31,34,38,32,2：4,160,2：5,192
1678,J,3,15,17,21,22,23,13,5：1,101,6：1,114
1679,H,10,12,13,21,31,41,27,4：2,128,5：2,155
1680,E,4,19,29,32,35,42,25,3：3,161,4：3,186
1681,F,1,7,11,13,15,42,33,5：1,89,6：1,122
1682,C,6,9,10,21,33,41,14,4：2,120,4：3,134
1683,G,6,15,28,30,32,43,21,2：4,154,3：4,175
1684,I,5,10,26,30,34,40,31,1：5,145,2：5,176
1685,A,1,26,27,28,33,37,8,4：2,152,4：3,160
1686,B,7,8,9,23,25,41,11,5：1,113,6：1,124
1687,F,20,21,23,26,29,35,22,4：2,154,4：3,176
1688,E,2,4,10,24,34,42,8,0：6,116,0：7,124
1689,D,4,7,21,22,34,42,31,2：4,130,3：4,161
1690,C,8,16,21,23,29,37,38,4：2,134,4：3,172
1691,H,13,16,18,29,33,41,26,4：2,150,4：3,176
1692,J,4,8,17,31,37,42,14,3：3,139,3：4,153
1693,G,7,8,21,23,34,36,11,3：3,129,4：3,140
1694,I,2,12,14,26,32,37,29,1：5,123,2：5,152
1695,F,3,8,14,18,28,37,39,2：4,108,3：4,147
1696,A,2,4,13,18,32,35,12,2：4,104,2：5,116
1697,E,2,3,11,12,22,35,26,3：3,85,3：4,111
1698,B,6,16,18,33,42,43,11,2：4,158,3：4,169
1699,D,4,6,16,27,39,42,1,2：4,134,3：4,135
1700,C,11,19,20,27,31,35,6,5：1,143,5：2,149
1701,H,5,8,27,30,33,39,10,4：2,142,4：3,152
1702,J,2,6,7,18,27,38,14,2：4,98,2：5,112
1703,G,14,22,23,30,33,38,18,2：4,160,2：5,178
1704,A,1,5,18,26,39,40,31,3：3,129,4：3,160
1705,I,3,6,9,28,37,41,5,4：2,124,5：2,129
1706,C,13,15,32,35,37,38,25,4：2,170,5：2,195
1707,B,14,16,28,34,35,36,26,1：5,163,1：6,189
1708,F,1,20,29,35,40,41,16,4：2,166,4：3,182
1709,H,3,4,7,20,22,41,5,3：3,97,4：3,102
1710,E,1,2,21,27,32,37,14,4：2,120,4：3,134
1711,J,3,32,33,34,35,40,5,3：3,177,4：3,182
1712,C,1,5,15,24,25,28,14,4：2,98,4：3,112
1713,A,6,32,38,39,40,42,37,1：5,197,2：5,234
1714,B,11,15,20,26,33,42,16,3：3,147,3：4,163
1715,I,2,6,15,16,32,37,25,2：4,108,3：4,133
1716,G,2,26,27,32,38,42,9,1：5,167,2：5,176
1717,B,15,21,23,24,33,36,40,4：2,152,4：3,192
1718,D,1,6,9,15,18,38,10,3：3,87,3：4,97
1719,H,4,11,15,16,35,39,36,4：2,120,4：3,156
1720,E,1,5,18,25,32,38,20,3：3,119,3：4,139
1721,A,7,8,14,17,22,39,30,3：3,107,3：4,137
1722,E,2,5,30,33,36,42,28,2：4,148,2：5,176
1723,F,6,10,15,16,30,38,26,1：5,115,1：6,141
1724,J,6,9,24,26,33,37,16,3：3,135,3：4,151
1725,C,2,10,16,17,20,28,1,1：5,93,2：5,94
1726,H,9,14,16,21,27,43,26,4：2,130,4：3,156
1727,B,3,13,16,22,33,42,15,3：3,129,4：3,144
1728,I,4,8,14,18,26,38,3,0：6,108,1：6,111
1729,G,11,15,24,25,28,31,9,4：2,134,5：2,143
1730,D,4,8,16,21,22,26,23,1：5,97,2：5,120
1731,I,3,7,19,21,32,35,6,5：1,117,5：2,123
1732,A,3,18,19,34,38,42,14,2：4,154,2：5,168
1733,J,22,24,25,27,29,39,7,4：2,166,5：2,173
1734,C,5,6,11,19,28,35,42,4：2,104,4：3,146
1735,F,1,21,24,33,40,41,12,4：2,160,4：3,172
1736,E,6,9,25,26,27,32,11,3：3,125,4：3,136
1737,B,12,14,22,24,29,33,3,2：4,134,3：4,137
1738,I,7,12,20,31,33,43,14,4：2,146,4：3,160
1739,D,1,7,12,36,37,39,41,4：2,132,5：2,173
1740,G,14,21,24,27,31,38,5,3：3,155,4：3,160
1741,H,4,14,17,19,22,42,6,2：4,118,2：5,124
1742,A,16,20,22,29,33,40,25,2：4,160,3：4,185
1743,J,3,17,18,19,20,42,9,3：3,119,4：3,128
1744,F,1,8,21,25,26,35,20,4：2,116,4：3,136
1745,C,7,9,10,21,39,40,32,4：2,126,4：3,158
1746,E,3,11,14,22,27,32,31,3：3,109,4：3,140
1747,D,1,9,11,14,15,40,32,4：2,90,4：3,122
1748,I,8,11,23,28,36,39,6,3：3,145,3：4,151
1749,F,1,4,13,17,31,34,18,4：2,100,4：3,118
1750,B,3,15,18,21,34,40,1,3：3,131,4：3,132
1751,G,1,12,21,24,29,42,32,3：3,129,3：4,161
1752,A,2,5,15,20,22,36,8,2：4,100,2：5,108
1753,E,1,2,4,9,22,25,38,3：3,63,3：4,101
1754,D,3,6,7,19,35,39,21,5：1,109,6：1,130
1755,H,4,11,13,26,27,36,15,3：3,117,4：3,132
1756,E,19,25,29,36,37,41,2,5：1,187,5：2,189
1757,A,6,12,15,35,36,39,42,3：3,143,3：4,185
1758,J,7,14,28,32,42,43,17,2：4,166,3：4,183
1759,I,1,10,25,27,28,33,15,4：2,124,5：2,139
1760,C,8,14,18,38,39,42,30,1：5,159,1：6,189
1761,F,5,7,13,21,23,30,42,5：1,99,5：2,141
1762,B,1,6,7,20,37,40,10,3：3,111,3：4,121
1763,G,2,6,20,30,31,41,11,2：4,130,3：4,141
1764,D,16,21,26,31,39,42,41,3：3,175,4：3,216
1765,J,1,10,15,19,20,32,6,3：3,97,3：4,103
1766,H,16,19,25,26,35,43,38,4：2,164,4：3,202
1767,I,7,15,17,21,32,35,43,5：1,127,6：1,170
1768,A,6,21,30,32,39,40,34,2：4,168,2：5,202
1769,A,4,11,15,19,28,32,34,3：3,109,3：4,143
1770,E,1,11,18,24,37,43,28,4：2,134,4：3,162
1771,C,3,6,12,16,31,42,40,2：4,110,2：5,150
1772,H,5,21,22,30,32,36,16,2：4,146,2：5,162
1773,F,12,21,22,27,31,32,20,3：3,145,3：4,165
1774,J,17,18,26,30,36,40,3,1：5,167,2：5,170
1775,B,4,5,9,26,27,29,43,4：2,100,5：2,143
1776,G,5,11,18,25,33,38,32,4：2,130,4：3,162
1777,D,5,16,19,21,30,35,11,4：2,126,5：2,137
1778,I,9,19,24,25,26,39,34,4：2,142,4：3,176
1779,A,11,13,20,33,35,40,34,4：2,152,4：3,186
1780,E,1,5,19,26,35,37,32,5：1,123,5：2,155
1781,C,10,18,32,39,41,42,12,2：4,182,2：5,194
1782,H,7,31,32,36,39,42,34,3：3,187,3：4,221
1783,F,5,14,19,23,30,42,35,3：3,133,4：3,168
1784,J,3,19,30,32,36,40,42,2：4,160,2：5,202
1785,A,4,11,24,35,37,42,7,3：3,153,4：3,160
1786,G,2,5,6,26,33,35,13,3：3,107,4：3,120
1787,B,2,13,17,19,41,43,1,5：1,135,6：1,136
1788,D,3,14,16,19,26,39,9,3：3,117,4：3,126
1789,I,6,9,16,26,29,34,36,2：4,120,2：5,156
1790,E,6,14,18,22,29,30,36,1：5,119,1：6,155
1791,J,8,9,18,19,30,36,17,2：4,120,3：4,137
1792,C,1,4,16,31,32,41,30,3：3,125,3：4,155
1793,E,1,6,14,15,23,24,42,3：3,83,3：4,125
1794,B,24,29,32,35,36,40,39,2：4,196,3：4,235
1795,H,26,30,31,35,41,43,5,4：2,206,5：2,211
1796,F,2,5,15,16,23,26,32,3：3,87,3：4,119
1797,A,15,23,26,34,41,43,32,4：2,182,4：3,214
1798,G,4,5,19,32,34,37,41,3：3,131,4：3,172
1799,D,11,18,34,40,41,42,14,2：4,186,2：5,200
1800,I,6,12,13,15,17,41,27,4：2,104,5：2,131
1801,J,18,25,26,37,39,43,21,4：2,188,5：2,209
1802,B,1,9,34,35,39,42,33,4：2,160,5：2,193
1803,E,9,16,18,19,39,41,3,4：2,142,5：2,145
1804,E,12,14,18,25,36,42,26,1：5,147,1：6,173
1805,C,4,22,27,31,32,40,35,2：4,156,3：4,191
1806,H,11,30,35,38,40,43,12,3：3,197,3：4,209
1807,F,1,2,8,9,10,20,25,2：4,50,3：4,75
1808,A,2,10,27,38,40,41,11,2：4,158,3：4,169
1809,B,2,5,10,22,24,42,7,1：5,105,2：5,112
1810,D,4,17,26,30,31,43,25,3：3,151,4：3,176
1811,J,2,4,6,13,20,38,33,1：5,83,2：5,116
1812,G,10,13,18,28,36,39,7,2：4,144,3：4,151
1813,I,5,22,26,34,39,42,12,2：4,168,2：5,180
1814,E,1,2,13,21,23,31,5,5：1,91,6：1,96
1815,C,3,8,10,25,26,29,32,3：3,101,3：4,133
1816,H,2,21,25,34,35,40,6,3：3,157,3：4,163
1817,C,6,24,30,33,37,38,7,2：4,168,3：4,175
1818,F,2,11,23,25,34,36,1,3：3,131,4：3,132
1819,J,5,8,18,20,24,34,29,1：5,109,2：5,138
1820,A,5,10,30,35,36,41,23,3：3,157,4：3,180
1821,D,9,11,12,14,27,38,34,3：3,111,3：4,145
1822,E,5,18,21,22,26,42,8,2：4,134,2：5,142
1823,B,4,10,18,25,34,38,40,1：5,129,1：6,169
1824,I,6,7,13,18,25,43,33,4：2,112,5：2,145
1825,F,1,10,13,17,20,41,4,4：2,102,4：3,106
1826,G,7,14,18,19,22,25,38,3：3,105,3：4,143
1827,H,1,13,18,23,38,41,36,4：2,134,4：3,170
1828,I,1,6,9,16,18,22,8,2：4,72,2：5,80
1829,J,12,15,16,17,28,42,32,2：4,130,2：5,162
1830,C,4,10,23,29,31,36,6,3：3,133,3：4,139
1831,A,1,14,17,27,32,43,42,4：2,134,4：3,176
1832,D,2,7,20,25,35,40,6,3：3,129,3：4,135
1833,E,7,13,34,37,42,43,38,4：2,176,4：3,214
1834,C,14,21,30,38,40,42,20,1：5,185,1：6,205
1835,F,11,20,23,24,31,33,1,4：2,142,5：2,143
1836,B,13,17,18,22,23,41,26,4：2,134,4：3,160
1837,H,16,17,27,34,38,42,20,2：4,174,2：5,194
1838,G,3,13,23,28,30,43,5,4：2,140,5：2,145
1839,I,2,5,26,32,34,40,21,1：5,139,2：5,160
1840,J,4,9,15,21,26,33,13,4：2,108,5：2,121
1841,A,8,11,15,31,33,38,30,4：2,136,4：3,166
1842,D,4,6,9,24,26,29,35,2：4,98,3：4,133
1843,B,4,5,10,19,26,37,3,3：3,101,4：3,104
1844,D,12,15,28,31,34,43,9,3：3,163,4：3,172
1845,E,10,22,25,30,31,39,28,3：3,157,3：4,185
1846,I,6,8,15,16,33,37,34,3：3,115,3：4,149
1847,J,18,22,25,35,36,39,43,3：3,175,4：3,218
1848,H,3,23,26,27,31,35,10,5：1,145,5：2,155
1849,I,11,15,17,33,36,41,6,5：1,153,5：2,159
1850,F,1,8,23,30,36,41,39,3：3,139,4：3,178
1851,C,8,9,10,16,17,39,4,3：3,99,3：4,103
1852,A,15,16,24,26,35,43,38,3：3,159,3：4,197
1853,E,11,13,24,26,28,34,17,2：4,136,3：4,153
1854,G,7,8,12,25,30,32,40,2：4,114,2：5,154
1855,B,21,24,26,30,31,38,3,2：4,170,3：4,173
1856,D,4,10,19,31,34,35,43,3：3,133,4：3,176
1857,J,11,16,20,23,38,41,33,3：3,149,4：3,182
1858,H,12,13,17,22,35,40,5,3：3,139,4：3,144
1859,D,1,4,11,28,37,39,15,4：2,120,5：2,135
1860,B,8,15,20,21,31,34,28,3：3,129,3：4,157
1861,F,2,12,13,27,39,40,30,3：3,133,3：4,163
1862,I,25,27,33,37,38,43,16,5：1,203,5：2,219
1863,C,15,20,24,37,38,39,27,3：3,173,4：3,200
1864,A,14,22,28,34,41,42,11,1：5,181,2：5,192
1865,E,3,5,18,21,26,36,34,3：3,109,3：4,143
1866,G,8,19,21,29,38,40,12,3：3,155,3：4,167
1867,H,1,6,17,28,40,42,4,2：4,134,2：5,138
1868,D,3,7,22,23,24,32,2,3：3,111,3：4,113
1869,C,7,8,16,28,36,37,29,2：4,132,3：4,161
1870,J,5,9,13,23,25,40,27,5：1,115,6：1,142
1871,B,7,13,22,24,38,42,14,2：4,146,2：5,160
1872,I,3,18,20,25,34,40,31,2：4,140,3：4,171
1873,F,6,15,26,33,39,41,42,4：2,160,4：3,202
1874,A,13,31,33,36,41,43,29,5：1,197,6：1,226
1875,E,11,15,16,24,38,39,29,3：3,143,4：3,172
1876,G,4,7,17,31,38,43,30,4：2,140,4：3,170
1877,J,1,11,13,16,21,37,6,5：1,99,5：2,105
1878,H,6,8,12,18,32,38,39,0：6,114,1：6,153
1879,D,1,8,14,27,29,37,6,4：2,116,4：3,122
1880,C,9,14,21,31,33,43,30,5：1,151,5：2,181
1881,B,2,9,22,31,33,35,30,4：2,132,4：3,162
1882,I,3,6,11,25,36,43,10,4：2,124,4：3,134
1883,F,3,11,24,25,28,32,5,3：3,123,4：3,128
1884,D,20,25,29,36,38,42,19,2：4,190,3：4,209
1885,A,2,6,7,16,17,41,32,3：3,89,3：4,121
1886,E,1,6,19,25,33,39,15,5：1,123,6：1,138
1887,E,5,7,15,18,36,37,20,4：2,118,4：3,138
1888,H,4,5,6,28,29,39,7,3：3,111,4：3,118
1889,G,7,15,21,27,28,32,24,4：2,130,4：3,154
1890,J,17,21,29,34,41,42,2,4：2,184,4：3,186
1891,C,2,16,23,38,40,43,33,2：4,162,3：4,195
1892,B,7,8,9,19,22,38,24,3：3,103,3：4,127
1893,G,25,31,33,35,37,42,16,5：1,203,5：2,219
1894,D,19,29,36,37,41,42,35,4：2,204,5：2,239
1895,I,6,18,29,33,35,40,1,3：3,161,4：3,162
1896,F,5,12,15,16,28,40,1,2：4,116,3：4,117
1897,J,7,23,27,30,34,36,28,3：3,157,3：4,185
1898,A,5,19,23,26,31,42,32,4：2,146,4：3,178
1899,E,2,4,9,19,33,36,3,3：3,103,4：3,106
1900,C,3,9,29,30,39,42,23,4：2,152,5：2,175
1901,H,14,15,26,28,33,37,4,3：3,153,3：4,157
1902,J,4,7,15,18,35,40,12,3：3,119,3：4,131
1903,B,18,19,23,25,27,32,20,4：2,144,4：3,164
1904,D,14,21,23,24,28,36,7,2：4,146,3：4,153
1905,G,4,5,17,20,29,30,40,3：3,105,3：4,145
1906,I,1,8,21,22,30,42,24,2：4,124,2：5,148
1907,F,10,14,21,23,24,40,28,2：4,132,2：5,160
1908,A,3,9,21,25,42,43,36,5：1,143,5：2,179
1909,J,3,5,7,8,22,27,28,4：2,72,4：3,100
1910,E,2,8,24,29,30,31,6,2：4,124,2：5,130
1911,B,4,8,9,14,16,41,15,2：4,92,3：4,107
1912,A,1,11,24,29,33,34,4,4：2,132,4：3,136
1913,F,2,5,22,23,29,33,17,4：2,114,5：2,131
1914,C,4,10,22,24,36,38,8,0：6,134,0：7,142
1915,H,4,10,14,19,24,40,15,1：5,111,2：5,126
1916,A,5,13,18,23,30,39,33,4：2,128,5：2,161
1917,D,3,12,14,29,30,33,21,3：3,121,4：3,142
1918,E,3,4,5,6,18,20,11,2：4,56,3：4,67
1919,J,5,17,19,21,38,41,6,5：1,141,5：2,147
1920,I,6,10,22,23,31,36,37,2：4,128,3：4,165
1921,H,1,2,13,25,33,41,31,5：1,115,6：1,146
1922,B,3,11,22,31,33,35,13,5：1,135,6：1,148
1923,F,6,7,18,30,34,37,3,2：4,132,3：4,135
