回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1210,J,5,6,12,16,23,36,9,2：4,98,3：4,107
1211,G,3,8,24,25,26,28,43,2：4,114,3：4,157
1212,H,2,16,27,35,40,42,25,2：4,162,3：4,187
1213,E,3,13,22,26,30,39,1,3：3,133,4：3,134
1214,F,2,19,23,30,33,36,40,3：3,143,3：4,183
1215,B,3,6,9,15,21,42,7,4：2,96,5：2,103
1216,I,8,14,25,39,42,43,37,3：3,171,4：3,208
1217,C,14,16,17,34,36,41,25,2：4,158,3：4,183
1218,D,5,8,13,20,28,42,35,2：4,116,3：4,151
1219,J,14,22,24,36,39,42,32,1：5,177,1：6,209
1220,F,9,15,21,23,32,42,14,4：2,142,4：3,156
1221,A,3,10,11,31,33,36,21,4：2,124,5：2,145
1222,H,1,5,7,11,29,39,40,6：0,92,6：1,132
1223,G,12,22,28,30,36,43,34,1：5,171,1：6,205
1224,E,5,18,33,38,41,43,6,4：2,178,4：3,184
1225,C,19,22,25,30,33,34,36,3：3,163,3：4,199
1226,D,7,8,28,34,37,41,13,3：3,155,4：3,168
1227,B,1,8,14,28,40,43,6,2：4,134,2：5,140
1228,F,6,18,19,25,28,40,3,2：4,136,3：4,139
1229,A,10,28,35,37,39,43,16,4：2,192,4：3,208
1230,J,1,2,6,9,17,38,34,3：3,73,3：4,107
1231,I,1,14,16,24,32,36,2,1：5,123,1：6,125
1232,H,5,10,14,31,35,38,16,3：3,133,3：4,149
1233,G,2,7,12,21,29,33,16,4：2,104,4：3,120
1234,E,7,11,16,20,30,40,28,2：4,124,2：5,152
1235,C,8,17,24,34,36,42,33,1：5,161,2：5,194
1236,H,1,3,11,26,38,39,34,4：2,118,4：3,152
1237,B,1,4,6,35,38,40,27,2：4,124,3：4,151
1238,D,8,14,28,29,33,40,32,2：4,152,2：5,184
1239,F,2,19,27,28,30,38,22,2：4,144,2：5,166
1240,A,15,18,22,36,37,39,26,3：3,167,3：4,193
